,Mean,SD
FS5_AIC,7737.828384980312,104.10429440839704
FS5_BIC,8899.670224512876,104.10429440839702
FS5_MAE,4.2245158310836475,0.1047404580427679
FS5_RMSE,5.299794712258971,0.12691940206551822
FS5_R2,0.4683622232023945,0.025332806445775752
FS5_r,0.7139831294279763,0.007850526010981136
FS7_AIC,7401.234233447536,48.802928931920114
FS7_BIC,8563.076072980102,48.80292893192009
FS7_MAE,3.9291233300786046,0.04763479597298745
FS7_RMSE,9.034320654451946,0.12617416568778994
FS7_R2,0.54424579184971,0.009675334122351598
FS7_r,0.7377010264414098,0.006559761235593309
